ljwv,0
kego,1
ayza,0
rtif,0
iexo,0
uvsc,0
krcu,0
jbum,0
nbcg,0
lrab,0
brkb,0
kndr,0
yhnw,0
vtzg,0
dcrg,0
xuxe,1
sivu,0
oyvz,0
bjou,0
zome,1
ngsx,0
drji,0
wozz,1
xnkm,0
necf,0
jmca,0
dhli,0
vbrh,0
bhfw,0
novl,0
yhfk,0
lfza,0
hdhw,0
hsrb,0
refj,0
lmez,1
vgyh,0
dspw,0
awlh,0
ruwi,0
zhmp,1
nlmm,0
dpgb,0
kihw,0
cavz,1
vxiv,0
aeqc,0
uesv,0
gwkq,0
mmai,0
mtoo,1
iejd,0
ewfx,0
gmnq,0
pudw,0
drpm,0
nttk,0
zyzb,0
xnoc,1
zrdu,0
rvys,0
txbg,0
wdmy,0
ugxd,0
ldtu,0
xdjj,0
zhnf,0
rtcj,0
oyel,0
vvtt,0
imgv,0
svdo,0
dkml,0
xodf,0
tatn,1
pbhh,0
jddq,0
rglm,0
uzrw,0
ldam,1
spba,0
jzhf,0
mvom,1
qnjt,0
quzj,0
xqlb,0
jpid,0
rmhr,0
qujk,0
qqpo,0
dzcq,0
spwg,0
nhhd,0
jftf,0
obtc,0
cgqk,0
qtkd,0
kpeh,1
pzse,0
oqax,0
bjfi,0
tfpd,0
vqrq,0
dizz,0
gxeh,0
jbct,0
vpks,0
fqpa,0
cnak,1
feym,1
czte,0
tanm,0
mlqs,0
ajxc,0
oqtx,0
jikg,0
btbi,0
qnxw,0
gsem,0
jear,0
qnub,1
zsfn,0
bmuu,0
meqt,1
ezxd,0
lflm,0
soip,1
uput,0
rxfl,0
qrsv,0
dmdn,0
snlg,0
ugab,0
suoq,1
ueuz,0
aqbr,0
zelt,1
xnim,0
eocn,0
zurg,0
fisv,0
lknn,0
vghf,0
iwhb,0
adei,0
jpsg,0
ejwv,0
ztkw,0
sfrr,0
kzug,1
htzi,0
lbra,0
kefx,0
zafw,0
hzij,0
tbuu,0
whkm,0
jdht,0
mfxj,0
bkwb,0
xldt,0
kpka,0
cxba,0
abik,0
vpdi,0
yitk,0
dmqs,0
ryiz,0
njgn,0
jypg,0
qsld,0
lgub,0
bszu,0
ygyl,0
tjhj,0
gwun,1
qcko,0
zkat,0
bowm,1
ssom,0
lsiq,0
jmua,0
awcz,0
egmo,0
brlb,0
xwig,0
mrfp,1
ykte,0
uqoo,0
zyrp,0
xzwb,0
doqw,0
mxsu,0
lkic,0
ylkd,0
efzw,0
vxnw,0
quqc,0
ouyq,0
ttml,0
alcb,0
knpw,0
wdmn,0
mwnz,0
cgxv,0
aqhv,0
uvun,0
daxx,0
utid,0
ylof,1
zkts,0
qivi,0
jfcj,0
fvze,0
kisg,0
dipq,0
rpun,0
itzr,0
yjax,0
bavp,0
ktbp,0
wpxf,0
nimu,0
gjxr,0
pdpe,0
zrjx,0
ljbn,0
utwb,0
cfwu,0
ztfv,0
vmjh,0
